STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-09-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-09-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-09-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-09-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-09-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-09-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-09-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-09-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-09-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-09-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,24-09-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,26-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,27-09-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,30-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-10-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-10-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-10-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-10-1996,,,74,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-10-1996,,,73,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-10-1996,,,75,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-10-1996,,,76,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-10-1996,,,77,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-10-1996,,,77,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-10-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-10-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-10-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-10-1996,,,79,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-10-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-10-1996,,,77,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-10-1996,,,78,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-10-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-10-1996,,,79,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-10-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-10-1996,,,79,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-10-1996,,,78,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-10-1996,,,77,"H,,S"
